0,1,2,3,4
of,which,are,established,by
gene,expression,is,globally,inhibited
identity,must,be,restarted,in
how,this,is,accomplished,is
is,accomplished,is,poorly,understood.
of,transcription,are,thus,controlled
"cycle4,5,",which,is,facilitated,by
their,identity,is,incompletely,understood.
how,pluripotency,is,preserved,through
proteins,that,are,needed,for
of,APC/C,was,required,for
values,that,were,slightly,below
"However,",it,was,unlikely,that
cells,that,are,unable,to
and,WDR5,was,seen,in
and,TBP,were,part,of
genes,that,are,important,for
controls.,UFD2,is,also,known
This,experiment,was,performed,five
in,parentheses,are,total,spectral
|,WDR5,is,an,APC/C
HeLa,cells,were,released,into
This,experiment,was,performed,three
This,experiment,was,performed,three
complex.,Flag–WDR5,was,first,purified
This,experiment,was,performed,once.
with,TBP,is,bridged,through
This,experiment,was,performed,twice
or,Flag–WDR5(ΔWIN),were,purified,from
This,experiment,was,performed,two
detect,WBMs,is,not,required
"recognition,",but,is,needed,to
site,that,is,composed,of
that,WDR5,is,situated,near
"6d),",which,was,dependent,upon
that,WDR5,is,a,coadaptor
approach,that,was,previously,established
substrates.,Traps,were,affinity-purified,from
This,experiment,was,performed,four
cells,and,is,inhibited,by
This,experiment,was,performed,three
This,experiment,was,performed,two
vitro.,APC/C,was,purified,from
This,experiment,was,performed,once.
by,APC/C,is,dependent,on
This,experiment,was,performed,two
Endogenous,H2B,is,modified,with
This,experiment,was,performed,three
ES,cells,is,dependent,on
This,experiment,was,performed,two
This,experiment,was,performed,two
uitylated,substrates,were,expected,to
expected,to,be,trapped,by
and,polynucleosomes,were,also,strongly
"activation,",and,is,negatively,regulated
of,histones,was,also,blocked
H2B,ubiquitylation,was,outcompeted,by
that,histones,are,recognized,by
when,CDC20,is,decorated,with
K11/K48-linked,chains,was,strongly,reduced
K11,linkages,are,assembled,during
transiently.,MNase,was,"used,",as
cells,that,were,co-occupied,by
K11-linked,chains,were,abundant,during
(when,APC/C,is,activated,by
"CDC20),",but,were,undetectable,during
when,APC/C,is,inactive,(Fig.
and,TBP,were,found,at
target,sites,were,within,100
proteins,that,are,involved,in
These,genes,are,among,the
first,to,be,expressed,upon
target,genes,were,strongly,bound
indicated,antibodies,were,performed,from
",",K11,is,deposited,at
ES,cells,were,collected,after
that,K11,is,deposited,only
in,c,was,used,for
of,APC/C–WDR5,are,strongly,enriched
Poly(A)-selected,RNA,was,purified,from
target,genes,are,reactivated,upon
